49,E1,FALSE,Veh,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,16.683,16.619,0.100,,,,,,TRUE,0.151,TRUE,3,11,Amp,,0.980,N
49,E1,FALSE,Veh,BIK,UNKNOWN,FAM,NFQ-MGB,,,,1.000,0.781,1.281,30.150,29.925,0.227,13.467,13.305,0.144,0.083,0.000,TRUE,0.336,TRUE,3,24,Amp,,0.989,N
50,E2,FALSE,Veh,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,16.504,16.619,0.100,,,,,,TRUE,0.151,TRUE,3,12,Amp,,0.978,N
50,E2,FALSE,Veh,BIK,UNKNOWN,FAM,NFQ-MGB,,,,1.000,0.781,1.281,29.696,29.925,0.227,13.192,13.305,0.144,0.083,0.000,TRUE,0.336,TRUE,3,24,Amp,,0.994,N
51,E3,FALSE,Veh,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,16.671,16.619,0.100,,,,,,TRUE,0.151,TRUE,3,12,Amp,,0.980,N
51,E3,FALSE,Veh,BIK,UNKNOWN,FAM,NFQ-MGB,,,,1.000,0.781,1.281,29.928,29.925,0.227,13.257,13.305,0.144,0.083,0.000,TRUE,0.336,TRUE,3,24,Amp,,0.994,N
52,E4,FALSE,Laso,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,16.816,16.569,0.224,,,,,,TRUE,0.151,TRUE,3,12,Amp,,0.976,N
52,E4,FALSE,Laso,BIK,UNKNOWN,FAM,NFQ-MGB,,,,1.129,1.086,1.174,29.950,29.699,0.234,13.134,13.130,0.023,0.013,-0.175,TRUE,0.336,TRUE,3,24,Amp,,0.994,N
53,E5,FALSE,Laso,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,16.510,16.569,0.224,,,,,,TRUE,0.151,TRUE,3,11,Amp,,0.972,N
53,E5,FALSE,Laso,BIK,UNKNOWN,FAM,NFQ-MGB,,,,1.129,1.086,1.174,29.660,29.699,0.234,13.150,13.130,0.023,0.013,-0.175,TRUE,0.336,TRUE,3,23,Amp,,0.993,N
54,E6,FALSE,Laso,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,16.381,16.569,0.224,,,,,,TRUE,0.151,TRUE,3,11,Amp,,0.975,N
54,E6,FALSE,Laso,BIK,UNKNOWN,FAM,NFQ-MGB,,,,1.129,1.086,1.174,29.486,29.699,0.234,13.106,13.130,0.023,0.013,-0.175,TRUE,0.336,TRUE,3,23,Amp,,0.993,N
55,E7,FALSE,Ful,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,16.947,16.599,0.311,,,,,,TRUE,0.151,TRUE,3,12,Amp,,0.976,N
55,E7,FALSE,Ful,BIK,UNKNOWN,FAM,NFQ-MGB,,,,1.169,0.984,1.388,30.096,29.679,0.393,13.149,13.080,0.100,0.058,-0.225,TRUE,0.336,TRUE,3,24,Amp,,0.990,N
56,E8,FALSE,Ful,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,16.498,16.599,0.311,,,,,,TRUE,0.151,TRUE,3,11,Amp,,0.948,N
56,E8,FALSE,Ful,BIK,UNKNOWN,FAM,NFQ-MGB,,,,1.169,0.984,1.388,29.624,29.679,0.393,13.125,13.080,0.100,0.058,-0.225,TRUE,0.336,TRUE,3,23,Amp,,0.991,N
57,E9,FALSE,Ful,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,16.350,16.599,0.311,,,,,,TRUE,0.151,TRUE,3,11,Amp,,0.972,N
57,E9,FALSE,Ful,BIK,UNKNOWN,FAM,NFQ-MGB,,,,1.169,0.984,1.388,29.316,29.679,0.393,12.966,13.080,0.100,0.058,-0.225,TRUE,0.336,TRUE,3,23,Amp,,0.992,N
58,E10,FALSE,E2,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,16.489,16.386,0.106,,,,,,TRUE,0.151,TRUE,3,11,Amp,,0.975,N
58,E10,FALSE,E2,BIK,UNKNOWN,FAM,NFQ-MGB,,,,0.486,0.337,0.700,30.778,30.733,0.266,14.289,14.347,0.212,0.123,1.042,TRUE,0.336,TRUE,3,25,Amp,,0.993,N
59,E11,FALSE,E2,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,16.278,16.386,0.106,,,,,,TRUE,0.151,TRUE,3,11,Amp,,0.977,N
